id,title,authors,year,venue,source_type,url_or_doi,main_claim,limitations,applicability,confidence,access_date,status
T1,"On the Criteria To Be Used in Decomposing Systems into Modules","D.L. Parnas",1972,"Communications of the ACM 15(12)","paper","doi:10.1145/361598.361623","Decompose by information hiding (each module hides a design decision), not by processing steps","One worked example (KWIC); no quantitative metric","Basis for hooks/lib split: hide hook-protocol decision behind one module","high","2026-07-16","VERIFIED"
T2,"Structured Design","W.P. Stevens; G.J. Myers; L.L. Constantine",1974,"IBM Systems Journal 13(2)","paper","doi:10.1147/sj.132.0115","Origin of coupling/cohesion as ordinal design heuristics","Qualitative categories, never formally validated","Terminology baseline; warns against treating levels as measurements","high","2026-07-16","VERIFIED"
T3,"OO Design Quality Metrics: An Analysis of Dependencies","Robert C. Martin",1994,"OOPSLA'94 workshop position paper; formalized in Agile Software Development (2002)","paper(non-peer-reviewed)","https://linux.ime.usp.br/~joaomm/mac499/arquivos/referencias/oodmetrics.pdf","Defines Ca, Ce, I=Ce/(Ca+Ce), A, D; Stable Dependencies / Stable Abstractions Principles","Definitional/normative; no empirical validation; not peer reviewed","I computed for modules; used directionally (depend toward stability), not with thresholds","high","2026-07-16","VERIFIED"
T4,"A Metrics Suite for Object Oriented Design","S.R. Chidamber; C.F. Kemerer",1994,"IEEE TSE 20(6)","paper","doi:10.1109/32.295895","CK suite incl. LCOM (method pairs not sharing fields)","LCOM representation condition contested; weak discrimination","LCOM inapplicable as-is to function-module Python hooks; used only as concept","high","2026-07-16","VERIFIED"
T5,"Measuring Coupling and Cohesion in Object-Oriented Systems","M. Hitz; B. Montazeri",1995,"ISACC'95","paper","http://www.isys.uni-klu.ac.at/PDF/1995-0043-MHBM.pdf","Cohesion as connected components of method/attribute graph (basis of LCOM4)","Symposium paper; 'LCOM4' name applied later by tool vendors","Connected-components idea reused for module-level cohesion proxy","medium","2026-07-16","VERIFIED"
T6a,"A Validation of Object-Oriented Design Metrics as Quality Indicators","V.R. Basili; L.C. Briand; W.L. Melo",1996,"IEEE TSE 22(10)","paper","doi:10.1109/32.544352","CBO/RFC/DIT predict fault-proneness; LCOM insignificant","Student projects; univariate era","Evidence that coupling metrics carry signal, cohesion metrics weak","high","2026-07-16","VERIFIED"
T6b,"Empirical evidence on the link between OO measures and external quality attributes: SLR","R. Jabangwe; J. Borstler; D. Smite; C. Wohlin",2015,"Empirical Software Engineering 20(3)","systematic_review","doi:10.1007/s10664-013-9291-7","SLR of 99 studies: LOC/WMC/RFC/CBO strongest links; LCOM weak/inconsistent","Vote-counting; coverage to ~2013","Grounds refusal to use universal LCOM thresholds","high","2026-07-16","VERIFIED"
T7a,"Finding and evaluating community structure in networks","M.E.J. Newman; M. Girvan",2004,"Physical Review E 69(2)","paper","doi:10.1103/PhysRevE.69.026113","Modularity Q as partition quality function","Degenerate landscapes; resolution limit","Q computed for all partitions incl. directory baseline","high","2026-07-16","VERIFIED"
T7b,"Resolution limit in community detection","S. Fortunato; M. Barthelemy",2007,"PNAS 104(1)","paper","doi:10.1073/pnas.0605965104","Modularity optimization cannot detect communities below ~sqrt(E) scale","Specific to standard null model","Why small clusters (C6-C8, n=2) must not be over-interpreted","high","2026-07-16","VERIFIED"
T8,"Fast unfolding of communities in large networks","V.D. Blondel; J.-L. Guillaume; R. Lambiotte; E. Lefebvre",2008,"J. Stat. Mech. P10008","paper","doi:10.1088/1742-5468/2008/10/P10008","Louvain: scalable greedy modularity optimization","Heuristic; may yield disconnected communities","Primary clustering algorithm (5 seeds)","high","2026-07-16","VERIFIED"
T9,"From Louvain to Leiden: guaranteeing well-connected communities","V.A. Traag; L. Waltman; N.J. van Eck",2019,"Scientific Reports 9:5233","paper","doi:10.1038/s41598-019-41695-z","Louvain can yield badly/disconnected communities; Leiden guarantees connected","Guarantees are connectivity, not 'true' communities","Motivates stability check across seeds; spot-checked directly (WebFetch)","high","2026-07-16","VERIFIED-spot-checked"
T10,"Normalized Cuts and Image Segmentation","J. Shi; J. Malik",2000,"IEEE TPAMI 22(8)","paper","doi:10.1109/34.868688","Normalized cut avoids min-cut small-segment bias; spectral relaxation","NP-complete exact; transfer to software graphs is by analogy","Grounds H1 verdict: raw min-cut biased, need normalized criteria","high","2026-07-16","VERIFIED"
T11,"Exploring the Structure of Complex Software Designs","A. MacCormack; J. Rusnak; C.Y. Baldwin",2006,"Management Science 52(7)","paper","doi:10.1287/mnsc.1060.0552","DSM + propagation cost compare architectures; redesign measurably reduced coupling","Two products; observational","Precedent for DSM artifact and propagation-style metrics","high","2026-07-16","VERIFIED"
T12,"Detection of Logical Coupling Based on Product Release History","H. Gall; K. Hajek; M. Jazayeri",1998,"ICSM'98","paper","doi:10.1109/ICSM.1998.738508","Origin of logical (change) coupling from co-change history","Single system; release granularity","Method basis for layer 9.2 change-coupling graph","high","2026-07-16","VERIFIED"
T13,"Decoupling Level: A New Metric for Architectural Maintenance Complexity","R. Mo; Y. Cai; R. Kazman; L. Xiao; Q. Feng",2016,"ICSE 2016","paper","doi:10.1145/2884781.2884825","DL metric validated against maintenance effort on 100+ projects","Depends on design-rule clustering; correlational","Supports multi-metric (not single-scalar) assessment","high","2026-07-16","VERIFIED"
T14,"On the Relationship Between Change Coupling and Software Defects","M. D'Ambros; M. Lanza; R. Robbes",2009,"WCRE 2009","paper","doi:10.1109/WCRE.2009.19","Change coupling correlates with defects beyond structural metrics","3 OSS systems; heuristic bug-commit linking","Justifies weighting co-change evidence in hotspot ranking","high","2026-07-16","VERIFIED"
P1,"Import Linter documentation","David Seddon",2026,"readthedocs (stable)","official_docs","https://import-linter.readthedocs.io/en/stable/","Python import contracts: forbidden, protected, layers, independence, acyclic siblings, custom","Static imports only","Primary fitness-function tool for this repo; spot-checked directly","high","2026-07-16","VERIFIED-spot-checked"
P2,"Grimp documentation","David Seddon",2026,"readthedocs","official_docs","https://grimp.readthedocs.io/en/stable/","Queryable Python import graphs; engine under import-linter","Analysis library, not enforcement","Alternative graph builder to validate custom AST scan","high","2026-07-16","VERIFIED"
P3,"dependency-cruiser","Sander Verweij",2026,"GitHub/docs","official_docs","https://github.com/sverweij/dependency-cruiser","JS/TS dependency validation with forbidden rules, cycles, orphans","N/A to Python core here","Reference for rule taxonomy only","high","2026-07-16","VERIFIED"
P4,"ArchUnit User Guide v1.4.2","TNG/ArchUnit project",2026,"archunit.org","official_docs","https://www.archunit.org/userguide/html/000_Index.html","Architecture tests: layers, cycles, dependency/naming rules","JVM-only","Pattern donor for test-as-fitness-function style","high","2026-07-16","VERIFIED"
P5,"pydeps documentation","Bjorn Pettersen",2026,"readthedocs","official_docs","https://pydeps.readthedocs.io/en/latest/","Python dependency visualization + cycle detection","Visualization, not a CI gate","Optional visualization of dependency-graph.graphml alternative","high","2026-07-16","VERIFIED"
B1,"Building Evolutionary Architectures, 2nd ed.","N. Ford; R. Parsons; P. Kua; P. Sadalage",2022,"O'Reilly","book","https://www.oreilly.com/library/view/building-evolutionary-architectures/9781492097532/","Architectural fitness functions: automated guiding measures (atomic/holistic, triggered/continual)","Direct fetch paywalled; verified via TOC/edition pages","Framework for section 11 fitness functions","medium-high","2026-07-16","VERIFIED"
B2,"Domain-Driven Design","Eric Evans",2003,"Addison-Wesley","book","https://www.dddcommunity.org/book/evans_2003/","Bounded Context: explicit boundary of model consistency","Pre-microservices; service mapping is later interpretation","Basis of section 08 boundary analysis","high","2026-07-16","VERIFIED"
B3,"Monolith to Microservices","Sam Newman",2019,"O'Reilly","book","https://www.oreilly.com/library/view/monolith-to-microservices/9781492047834/","Coupling taxonomy: implementation, temporal, deployment, domain","Taxonomy verified via secondary notes (paywall)","Vocabulary for coupling typing in sections 05/12","medium-high","2026-07-16","VERIFIED"
B4,"Software Architecture Metrics","Ciceri; Farley; Ford; Harmel-Law; Keeling; Lilienthal; et al.",2022,"O'Reilly","book","https://www.oreilly.com/library/view/software-architecture-metrics/9781098112226/","Ch.4 Modularity Maturity Index (Lilienthal): debt triage refactor/replace/leave","Anthology; MMI from author's own method","Supports multi-metric maturity framing","medium","2026-07-16","VERIFIED"
B5,"Balancing Coupling in Software Design","Vlad Khononov",2024,"Addison-Wesley","book","https://coupling.dev/","Integration Strength (intrusive/functional/model/contract) x distance x volatility","New; no independent empirical validation yet","Model used to grade file-store contracts (model coupling)","medium","2026-07-16","VERIFIED"
C1,"Deconstructing the Monolith (+ Under Deconstruction, 2020)","Kirsten Westeinde / Shopify Engineering",2019,"Shopify Engineering blog","case_study","https://shopify.engineering/deconstructing-monolith-designing-software-maximizes-developer-productivity","Modular monolith with enforced component boundaries (Wedge; later packwerk)","Outcomes mostly qualitative; 2020 post reports enforcement difficulties","Direct template for Option B (modular monolith + boundary tooling); spot-checked","high","2026-07-16","VERIFIED-spot-checked"
